Task,Ended,Stack,Diff,CATEGORY,Priority,Effort (h),Started,Files,Completion,Notes
TIER 1: PRODUCTION FUNDAMENTALS (✅ COMPLETATO)
Creare transaction.csv,✅,py,Medium,Must,🟢,2,✅2102,transactions.csv,100%,Formato reale da piattaforme
Creare works.json,✅,py,Low,Must,🟢,1,✅2102,works.json,100%,Arricchito con quotas
Creare artists.json,✅,py,Low,Must,🟢,1,✅2102,artists.json,100%,Dati realisti completi
Aggiornare schema DB - artists,✅,py,High,Must,🟢,2,✅2102,db.py,100%,artist_image+work_type+iswc+genre
Aggiornare schema DB - works,✅,py,High,Must,🟢,2,✅2102,db.py,100%,secondary_artists+work_cover+genre+bpm+iswc+key
Aggiornare schema DB - transactions,✅,py,High,Must,🟢,2,✅2102,db.py,100%,is_artist_paid+purchase_month+platform+territory
Creare tabella quotas,✅,py,High,Must,🟢,2,✅2102,db.py,100%,Split multi-artista
Docker Compose setup,✅,DevOps,Low,Must,🟢,1,✅2312,docker-compose.yml,100%,PostgreSQL 15 container
Setup Pytest,✅,py,Medium,Must,🟢,2,✅2312,tests/conftest.py+test_etl.py+test_queries.py,100%,13 test passing
Aggiornare ETL input,✅,py,High,Must,🟢,4,✅2312,etl_in.py,100%,Supporto JSON+CSV
Aggiornare ETL output - advance,✅,py,High,Must,🟢,3,✅2312,etl_out.py,100%,Lordo-Netto-Advance
Aggiornare ETL output - split,✅,py,High,Must,🟢,3,✅2312,etl_out.py,100%,Usare tabella quotas
Logging ETL (@log_operation),✅,py,Low,Must,🟢,1,✅2312,etl/logger.py,100%,Decorator pattern
Error handling ETL,✅,py,Medium,Must,🟢,2,✅2312,etl/db_operations.py,100%,Centralizzato in @log_operation
Data enrichment + validation,✅,py,Medium,Must,🟢,2,✅2312,data/*.json+transaction.csv,100%,Quotas 100% verificate in Polars
README.md,IN PROGRESS,md,Low,Must,🟡,1,✅2312,README.md,10%,Documentazione GitHub
requirements.txt,IN PROGRESS,py,Low,Must,🟢,0.5,✅2312,requirements.txt,10%,Dipendenze Python
TIER 2: ADVANCED FEATURES (IN PROGRESS)
Setup API FastAPI,✅,py,High,Must,🟢,3,✅1903,src/main.py+routes.py,100%,FastAPI+router+Pydantic models
API: /calculate_artist_revenue,✅,py,Medium,Must,🟢,2,✅1903,src/routes.py,100%,Revenue netta per artista
API: /calculate_artist_monthly_revenue,✅,py,Medium,Must,🟡,2,✅1903,src/routes.py,100%,Revenue mensile per artista
API: /calculate_work_revenue,✅,py,Medium,Must,🟡,2,✅1903,src/routes.py,100%,Revenue lorda per opera
API: /get_top_artist,✅,py,Low,Must,🟡,1,✅1903,src/routes.py,100%,Artista con revenue più alta
API: /tot_revenue,✅,py,Low,Must,🟢,1,✅1903,src/routes.py,100%,Revenue lorda totale
API: /tot_unit_sold,✅,py,Low,Must,🟡,1,✅1903,src/routes.py,100%,Conteggio transazioni
API: /get_works,✅,py,Low,Must,🟢,1,✅1903,src/routes.py,100%,Lista opere da DB
API: /get_artist,✅,py,Low,Must,🟢,1,✅1903,src/routes.py,100%,Lista artisti da DB
API: /create_work,✅,py,Medium,Must,🟡,2,✅1903,src/routes.py+works.html,100%,Crea opera + modal frontend
API: /create_artist,✅,py,Medium,Must,🟡,2,✅1903,src/routes.py+artists.html,100%,Crea artista + modal frontend
Logging API,✅,py,Low,Must,🟡,1,✅1903,src/main.py+routes.py,100%,api.log + logger phobos.api su tutti gli endpoint
Test API endpoint,✅,py,Medium,Must,🟢,2,✅1903,tests/test_api.py,100%,13 test (5 senza DB + 8 integration con marker)
CI/CD Pipeline,,DevOps,High,Must,🔴,4,,GitHub Actions,0%,Push to prod
NICE TO HAVE (Future)
Immagini reali,✅,,Low,Nice,🟡,1,✅1903,frontend/src/,100%,Immagini locali artists+albums
Pagination dinamica,,js,Medium,Nice,🟡,3,,artist.html+works.html,0%,Attualmente statica
Form artisti con API,✅,js,High,Nice,🟡,4,✅1903,artists.html,100%,Modal + upload immagine + POST
Form opere con API,✅,js,High,Nice,🟡,4,✅1903,works.html,100%,Modal + upload cover + POST
Dashboard con API,,js,Medium,Nice,🟡,4,,frontend/index.html,0%,Metriche reali
Login utenti,,py,High,Nice,🔴,8,,auth.py,0%,Cofounder+manager
OUT OF SCOPE
Dashboard con grafici,,js,High,Out,🔴,12,,frontend/,0%,Chart.js
Export PDF/Excel,,py,Medium,Out,🔴,6,,reports.py,0%,pandas/openpyxl
Notifiche email,,py,High,Out,🔴,8,,notifications.py,0%,SMTP/SendGrid
